mu_eV,PF_W_per_mK2
-5.67203,8.00115e-05
-5.65911,3.92107e-05
-5.6462,1.11713e-05
-5.63328,7.68487e-08
-5.62036,8.22893e-06
-5.60744,3.67852e-05
-5.59452,8.67558e-05
-5.5816,0.000159738
-5.56868,0.000258153
-5.55576,0.000385121
-5.54284,0.000544129
-5.52992,0.000738508
-5.517,0.000970475
-5.50409,0.00123976
-5.49117,0.00154232
-5.47825,0.00187027
-5.46533,0.00221371
-5.45241,0.00256395
-5.43949,0.00291651
-5.42656,0.00327163
-5.41365,0.00363078
-5.40073,0.00398979
-5.38782,0.00433232
-5.37489,0.0046251
-5.36198,0.00481907
-5.34905,0.00485687
-5.33614,0.00468701
-5.32322,0.00428682
-5.3103,0.0036864
-5.29738,0.00297713
-5.28447,0.00228405
-5.27154,0.00171171
-5.25863,0.00130485
-5.2457,0.00105322
-5.23278,0.000921796
-5.21987,0.000875059
-5.20694,0.000885592
-5.19403,0.000933152
-5.1811,0.00100154
-5.16819,0.00107648
-5.15527,0.00114501
-5.14236,0.0011963
-5.12943,0.00122248
-5.11652,0.00121963
-5.10359,0.00118767
-5.09068,0.00112986
-5.07776,0.0010517
-5.06483,0.000959703
-5.05192,0.000860301
-5.03899,0.000759145
-5.02608,0.00066068
-5.01316,0.000568059
-5.00024,0.000483281
-4.98732,0.000407359
-4.97441,0.000340576
-4.96148,0.000282703
-4.94857,0.000233175
-4.93564,0.000191229
-4.92273,0.000156038
-4.90981,0.000126736
-4.89689,0.000102508
-4.88397,8.2602e-05
-4.87104,6.6327e-05
-4.85813,5.30914e-05
-4.84521,4.237e-05
-4.83229,3.37229e-05
-4.81937,2.67708e-05
-4.80646,2.12032e-05
-4.79353,1.67541e-05
-4.78062,1.32121e-05
-4.7677,1.03986e-05
-4.75478,8.16459e-06
-4.74186,6.40416e-06
-4.72895,5.01303e-06
-4.71602,3.91753e-06
-4.7031,3.0558e-06
-4.69018,2.38084e-06
-4.67726,1.85166e-06
-4.66435,1.43743e-06
-4.65142,1.11456e-06
-4.63851,8.64055e-07
-4.62558,6.69073e-07
-4.61267,5.17091e-07
-4.59975,3.98822e-07
-4.58683,3.05285e-07
-4.57391,2.33355e-07
-4.561,1.78164e-07
-4.54807,1.36908e-07
-4.53516,1.03419e-07
-4.52223,7.89439e-08
-4.50931,6.06261e-08
-4.4964,4.40836e-08
-4.48347,3.33047e-08
-4.47056,2.18995e-08
-4.45763,1.65663e-08
-4.44472,1.22245e-08
-4.4318,9.17421e-09
-4.41889,6.55345e-09
-4.40596,3.23953e-09
-4.39305,1.4215e-09
-4.38012,1.00187e-09
-4.36721,5.26973e-10
-4.35429,2.50533e-10
-4.34136,0
-4.32845,0
-4.31552,0
-4.30261,0
-4.28969,0
-4.27677,0
-4.26385,0
-4.25094,0
-4.23801,0
-4.2251,0
-4.21217,0
-4.19926,0
-4.18634,0
-4.17341,0
-4.1605,0
-4.14757,0
-4.13466,0
-4.12174,0
-4.10883,0
-4.0959,0
-4.08299,0
-4.07006,0
-4.05715,0
-4.04423,0
-4.03131,0
-4.01839,0
-4.00548,0
-3.99255,0
-3.97963,0
-3.96671,0
-3.95379,0
-3.94088,0
-3.92795,0
-3.91504,0
-3.90211,0
-3.8892,0
-3.87628,0
-3.86337,0
-3.85044,0
-3.83753,0
-3.8246,0
-3.81168,0
-3.79877,0
-3.78584,0
-3.77293,0
-3.76,0
-3.74709,0
-3.73417,0
-3.72125,0
-3.70833,0
-3.69542,0
-3.68249,0
-3.66958,0
-3.65665,0
-3.64374,0
-3.63082,0
-3.61789,0
-3.60498,0
-3.59205,0
-3.57914,0
-3.56622,0
-3.5533,0
-3.54038,0
-3.52747,0
-3.51454,0
-3.50163,0
-3.48871,0
-3.47579,0
-3.46287,0
-3.44994,0
-3.43703,0
-3.42411,0
-3.41119,0
