mu_eV,PF_W_per_mK2
-5.67203,9.01492e-05
-5.65911,4.33008e-05
-5.6462,1.20354e-05
-5.63328,1.13679e-07
-5.62036,7.32968e-06
-5.60744,3.19167e-05
-5.59452,7.3128e-05
-5.5816,0.000132367
-5.56868,0.000212673
-5.55576,0.000317641
-5.54284,0.000451178
-5.52992,0.000618232
-5.517,0.00082443
-5.50409,0.00107264
-5.49117,0.00135787
-5.47825,0.00166482
-5.46533,0.00197149
-5.45241,0.00225871
-5.43949,0.00252106
-5.42656,0.00277187
-5.41365,0.0030356
-5.40073,0.00332962
-5.38782,0.0036451
-5.37489,0.00393618
-5.36198,0.00412217
-5.34905,0.0041021
-5.33614,0.00378555
-5.32322,0.00314622
-5.3103,0.00228504
-5.29738,0.00142815
-5.28447,0.000791706
-5.27154,0.000434096
-5.25863,0.000279786
-5.2457,0.000238413
-5.23278,0.000258604
-5.21987,0.00031834
-5.20694,0.000407761
-5.19403,0.000519676
-5.1811,0.000644634
-5.16819,0.000769318
-5.15527,0.000878199
-5.14236,0.000957007
-5.12943,0.000996122
-5.11652,0.000992503
-5.10359,0.000949633
-5.09068,0.000875961
-5.07776,0.000782334
-5.06483,0.000679468
-5.05192,0.000576245
-5.03899,0.000478959
-5.02608,0.000391391
-5.01316,0.000315271
-5.00024,0.000250873
-4.98732,0.000197552
-4.97441,0.000154164
-4.96148,0.000119364
-4.94857,9.17815e-05
-4.93564,7.01427e-05
-4.92273,5.33135e-05
-4.90981,4.03197e-05
-4.89689,3.03619e-05
-4.88397,2.27694e-05
-4.87104,1.70122e-05
-4.85813,1.26667e-05
-4.84521,9.40216e-06
-4.83229,6.95807e-06
-4.81937,5.13463e-06
-4.80646,3.77954e-06
-4.79353,2.7763e-06
-4.78062,2.03483e-06
-4.7677,1.48789e-06
-4.75478,1.08543e-06
-4.74186,7.88355e-07
-4.72895,5.71374e-07
-4.71602,4.13283e-07
-4.7031,2.99397e-07
-4.69018,2.14836e-07
-4.67726,1.54759e-07
-4.66435,1.11721e-07
-4.65142,7.80354e-08
-4.63851,5.56677e-08
-4.62558,3.62609e-08
-4.61267,2.58252e-08
-4.59975,1.80298e-08
-4.58683,1.27253e-08
-4.57391,8.60998e-09
-4.561,4.25694e-09
-4.54807,1.90491e-09
-4.53516,1.26856e-09
-4.52223,6.43692e-10
-4.50931,2.92937e-10
-4.4964,0
-4.48347,0
-4.47056,0
-4.45763,0
-4.44472,0
-4.4318,0
-4.41889,0
-4.40596,0
-4.39305,0
-4.38012,0
-4.36721,0
-4.35429,0
-4.34136,0
-4.32845,0
-4.31552,0
-4.30261,0
-4.28969,0
-4.27677,0
-4.26385,0
-4.25094,0
-4.23801,0
-4.2251,0
-4.21217,0
-4.19926,0
-4.18634,0
-4.17341,0
-4.1605,0
-4.14757,0
-4.13466,0
-4.12174,0
-4.10883,0
-4.0959,0
-4.08299,0
-4.07006,0
-4.05715,0
-4.04423,0
-4.03131,0
-4.01839,0
-4.00548,0
-3.99255,0
-3.97963,0
-3.96671,0
-3.95379,0
-3.94088,0
-3.92795,0
-3.91504,0
-3.90211,0
-3.8892,0
-3.87628,0
-3.86337,0
-3.85044,0
-3.83753,0
-3.8246,0
-3.81168,0
-3.79877,0
-3.78584,0
-3.77293,0
-3.76,0
-3.74709,0
-3.73417,0
-3.72125,0
-3.70833,0
-3.69542,0
-3.68249,0
-3.66958,0
-3.65665,0
-3.64374,0
-3.63082,0
-3.61789,0
-3.60498,0
-3.59205,0
-3.57914,0
-3.56622,0
-3.5533,0
-3.54038,0
-3.52747,0
-3.51454,0
-3.50163,0
-3.48871,0
-3.47579,0
-3.46287,0
-3.44994,0
-3.43703,0
-3.42411,0
-3.41119,0
-3.39827,0
-3.38536,0
-3.37243,0
-3.35952,0
-3.34659,0
-3.33368,0
-3.32076,0
-3.30784,0
-3.29492,0
-3.28201,0
-3.26908,0
-3.25616,0
-3.24324,0
-3.23032,0
-3.21741,0
-3.20448,0
-3.19157,0
-3.17864,0
-3.16573,0
-3.15281,0
-3.1399,0
-3.12697,0
-3.11406,0
-3.10113,0
-3.08821,0
-3.0753,0
-3.06237,0
-3.04946,0
-3.03653,0
-3.02362,0
-3.0107,0
-2.99778,0
-2.98486,0
-2.97195,0
-2.95902,0
-2.94611,0
-2.93318,0
-2.92026,0
-2.90735,0
-2.89442,0
-2.88151,0
-2.86858,0
-2.85567,0
-2.84275,0
-2.82984,0
-2.81691,0
-2.804,0
-2.79107,0
-2.77816,0
-2.76524,0
-2.75232,0
-2.7394,0
-2.72647,0
-2.71356,0
-2.70064,0
-2.68772,0
-2.6748,0
-2.66189,0
-2.64896,0
-2.63605,0
-2.62312,0
-2.61021,0
-2.59729,0
-2.58438,0
-2.57145,0
-2.55852,0
-2.54561,0
-2.53269,0
-2.51978,0
-2.50685,0
-2.49394,0
-2.48101,0
-2.4681,0
-2.45518,0
-2.44226,0
-2.42934,0
-2.41643,0
-2.4035,0
-2.39059,0
-2.37766,0
-2.36474,0
-2.35183,0
-2.3389,0
-2.32599,0
-2.31306,0
-2.30015,0
-2.28723,0
-2.27431,0
-2.26139,0
-2.24848,0
-2.23555,0
-2.22264,0
-2.20972,0
-2.19679,0
-2.18388,0
-2.17095,0
-2.15804,0
-2.14512,0
-2.1322,0
-2.11928,0
-2.10637,0
-2.09344,0
-2.08053,0
-2.0676,0
-2.05469,0
-2.04177,0
-2.02885,0
-2.01593,0
-2.003,0
-1.99009,0
-1.97717,0
-1.96425,0
-1.95133,0
-1.93842,0
-1.92549,0
-1.91258,0
-1.89965,0
-1.88674,0
-1.87382,0
-1.86091,0
-1.84798,0
-1.83505,0
-1.82214,0
-1.80922,0
-1.79631,0
-1.78338,0
-1.77047,0
-1.75754,0
-1.74463,0
-1.73171,0
-1.71879,0
-1.70587,0
-1.69296,0
-1.68003,0
-1.66712,0
-1.65419,0
-1.64127,0
-1.62836,0
-1.61543,0
-1.60252,0
-1.58959,0
-1.57668,0
-1.56376,0
-1.55085,0
-1.53792,0
-1.52501,0
-1.51208,0
-1.49917,0
-1.48625,0
-1.47332,0
-1.46041,0
-1.44748,0
-1.43457,0
-1.42165,0
-1.40873,0
-1.39581,0
-1.3829,0
-1.36997,0
-1.35706,0
-1.34413,0
-1.33122,0
-1.3183,0
-1.30537,0
-1.29246,0
-1.27953,0
-1.26662,0
-1.2537,0
-1.24079,0
-1.22786,0
-1.21495,0
-1.20202,0
-1.18911,0
-1.17619,0
-1.16327,0
-1.15035,0
-1.13744,0
-1.12451,0
-1.11159,0
-1.09867,0
-1.08575,0
-1.07284,0
-1.05991,0
-1.047,0
-1.03407,0
-1.02116,0
-1.00824,0
-0.995325,0
-0.982399,0
-0.969488,0
-0.956562,0
-0.943637,0
-0.930725,0
-0.9178,0
-0.904888,0
-0.891962,0
-0.879051,0
-0.866125,0
-0.853213,0
-0.840288,0
-0.827376,0
-0.814451,0
-0.801539,0
-0.788613,0
-0.775702,0
-0.762776,0
-0.749851,0
-0.736939,0
-0.724014,0
-0.711102,0
-0.698176,0
-0.685265,0
-0.672339,0
-0.659427,0
-0.646502,0
-0.63359,0
-0.620665,0
-0.607753,0
-0.594828,0
-0.581902,0
-0.56899,0
-0.556065,0
-0.543153,0
-0.530228,0
-0.517316,0
-0.50439,0
-0.491479,0
-0.478553,0
-0.465641,0
-0.452716,0
-0.439804,0
-0.426879,0
-0.413967,0
-0.401042,0
-0.388116,0
-0.375204,0
-0.362279,0
-0.349367,0
-0.336442,0
-0.32353,0
-0.310604,0
-0.297693,0
-0.284767,0
-0.271855,0
-0.25893,0
-0.246018,0
-0.233093,0
-0.220167,0
-0.207256,0
-0.19433,0
-0.181418,0
-0.168493,0
-0.155581,0
-0.142656,0
-0.129744,0
-0.116819,0
-0.103907,0
-0.0909813,0
-0.0780695,0
-0.0651441,0
-0.0522187,1.42175e-12
-0.0393069,1.24647e-10
-0.0263814,3.6693e-10
-0.0134696,7.1668e-10
-0.000544228,9.9957e-10
0.0123676,1.44193e-09
0.025293,2.50606e-09
0.0382048,4.28044e-09
0.0511302,7.54131e-09
0.064042,1.06807e-08
0.0769674,1.85322e-08
0.0898792,2.71691e-08
0.102805,3.83699e-08
0.115716,5.70544e-08
0.128642,8.10605e-08
0.141567,1.14331e-07
0.154479,1.60889e-07
0.167405,2.26363e-07
0.180316,3.16513e-07
0.193242,4.37689e-07
0.206154,6.04031e-07
0.219079,8.32287e-07
0.231991,1.14967e-06
0.244916,1.57986e-06
0.257828,2.16325e-06
0.270753,2.95215e-06
0.283665,4.02195e-06
0.296591,5.46658e-06
0.309516,7.41666e-06
0.322428,1.00366e-05
0.335353,1.35244e-05
0.348265,1.81737e-05
0.36119,2.43362e-05
0.374102,3.24666e-05
0.387028,4.31454e-05
0.399939,5.70737e-05
0.412865,7.51348e-05
0.425777,9.83734e-05
0.438702,0.000128024
0.451614,0.000165476
0.464539,0.000212247
0.477451,0.000269879
0.490377,0.000339799
0.503302,0.000423126
0.516214,0.000520441
0.529139,0.000631637
0.542051,0.000755916
0.554976,0.000892084
0.567888,0.00103909
0.580814,0.00119635
0.593725,0.00136326
0.606651,0.00153734
0.619563,0.00171146
0.632488,0.00187262
0.6454,0.00200385
0.658325,0.00208871
0.671251,0.0021162
0.684163,0.00208383
0.697088,0.00199931
0.71,0.00187886
0.722925,0.0017424
0.735837,0.00160734
0.748762,0.00148621
0.761674,0.00138824
0.7746,0.00132141
0.787511,0.00129293
0.800437,0.00130799
0.813349,0.00136601
0.826274,0.00145515
0.839186,0.00155041
0.852111,0.00162164
0.865037,0.00164703
0.877948,0.00161794
0.890874,0.00153041
0.903786,0.00137686
0.916711,0.0011523
0.929623,0.000872758
0.942548,0.000583883
0.95546,0.000340821
0.968386,0.000174091
0.981297,7.79907e-05
0.994223,2.88384e-05
1.00713,6.40708e-06
1.02006,1.43169e-08
1.03299,3.09939e-06
1.0459,7.49782e-06
1.05882,5.41719e-06
1.07173,8.13377e-09
1.08466,1.74486e-05
1.09757,0.000104383
1.1105,0.000295026
1.12341,0.000565592
1.13633,0.000831541
1.14925,0.00100676
1.16217,0.00106453
1.17508,0.00104216
1.18801,0.00100241
1.20093,0.000996491
1.21385,0.00104868
1.22677,0.0011544
1.23968,0.00128225
1.25261,0.00138162
1.26552,0.00139706
1.27845,0.00128559
1.29136,0.00103619
1.30428,0.000687971
1.31719,0.000330962
1.33012,7.59232e-05
1.34303,1.54627e-06
1.35596,0.00011213
1.36887,0.000336445
1.38179,0.000566227
1.39472,0.000708464
1.40763,0.000724947
1.42056,0.000639169
1.43347,0.000508075
1.44639,0.000383633
1.45931,0.000293358
1.47223,0.000244179
1.48514,0.000234441
1.49807,0.000261331
1.51098,0.000320323
1.52391,0.000400667
1.53682,0.000486087
1.54974,0.000564378
1.56267,0.000636816
1.57558,0.000716637
1.58851,0.000817939
1.60142,0.00094262
1.61434,0.00107148
1.62726,0.00116641
1.64018,0.00118854
1.65309,0.00112233
1.66602,0.0009825
1.67893,0.000797288
1.69185,0.000590173
1.70477,0.00038004
1.71769,0.000192328
1.7306,5.93531e-05
1.74353,2.50813e-06
1.75645,1.45418e-05
1.76937,6.36839e-05
1.78229,0.000115243
1.7952,0.000148622
1.80813,0.000159312
1.82104,0.000151947
1.83397,0.000132799
1.84688,0.000105861
1.8598,7.36178e-05
1.87272,4.04261e-05
1.88564,1.36733e-05
1.89855,6.31608e-07
1.91148,4.45687e-06
1.9244,2.30886e-05
1.93732,5.07255e-05
1.95024,8.0436e-05
1.96315,0.000107364
1.97608,0.000131099
1.98899,0.000155324
2.00192,0.00018489
2.01483,0.000222157
2.02775,0.000264542
2.04066,0.000304825
2.05359,0.000333936
2.0665,0.00034375
2.07943,0.000328759
2.09234,0.000287631
2.10526,0.000224114
2.11819,0.000146458
2.1311,6.80836e-05
2.14403,1.10829e-05
2.15694,6.81289e-06
2.16986,8.51657e-05
2.18278,0.000250569
2.1957,0.000460593
2.20861,0.000636495
2.22154,0.00070897
2.23445,0.000659665
2.24738,0.000522654
2.26029,0.000353571
2.27321,0.000199113
2.28614,8.54053e-05
2.29905,2.04485e-05
2.31198,4.05238e-08
2.32489,1.20991e-05
2.33781,3.84438e-05
2.35072,5.67986e-05
2.36365,4.94556e-05
2.37656,1.94658e-05
2.38949,3.75409e-08
2.4024,3.76785e-05
2.41532,0.000154036
2.42824,0.000324789
2.44116,0.000499362
2.45407,0.00063381
2.467,0.000702732
2.47992,0.000694176
2.49284,0.000607549
2.50576,0.000459581
2.51867,0.000287086
2.5316,0.000135657
2.54451,3.82931e-05
2.55744,1.39766e-06
2.57035,8.49471e-06
2.58327,3.388e-05
2.59618,5.46334e-05
2.60911,5.85556e-05
2.62202,4.78535e-05
2.63495,3.46115e-05
2.64787,3.08327e-05
2.66078,4.84147e-05
2.67371,0.000115699
2.68662,0.000285787
2.69955,0.000605393
2.71246,0.00105856
2.72538,0.00153953
2.7383,0.00188342
2.75122,0.00193216
2.76413,0.00161077
2.77706,0.0010066
2.78997,0.000386456
2.8029,3.88661e-05
2.81582,3.14586e-05
2.82873,0.000185797
2.84166,0.000287556
2.85457,0.000249609
2.8675,0.000120015
2.88041,1.29918e-05
2.89333,2.25953e-05
2.90625,0.00015599
2.91917,0.000333053
2.93208,0.00045564
2.94501,0.000475769
2.95792,0.000403516
2.97084,0.000277867
2.98376,0.000145273
2.99668,4.67772e-05
3.00961,2.89124e-06
3.02252,7.98377e-06
3.03544,4.20981e-05
3.04836,8.62396e-05
3.06128,0.000127261
3.07419,0.000153933
3.08712,0.000154212
3.10003,0.000120648
3.11296,6.11864e-05
3.12587,7.61651e-06
3.13879,1.79083e-05
3.15171,0.000166616
3.16463,0.000508884
3.17756,0.0010222
3.19047,0.00157699
3.20339,0.00199021
3.21631,0.00213919
3.22923,0.0020352
3.24214,0.00177894
3.25507,0.00145522
3.26798,0.00109102
3.28091,0.000699979
3.29382,0.000336889
3.30674,8.80119e-05
3.31965,6.22304e-07
3.33258,3.7978e-05
3.34549,0.000114815
3.35842,0.00016158
3.37134,0.000153058
3.38425,0.000100153
3.39718,3.46451e-05
3.41009,1.03638e-07
3.42302,3.77049e-05
3.43593,0.000161277
3.44885,0.000342565
3.46177,0.000528471
3.47469,0.000676254
3.4876,0.000771024
3.50053,0.000815265
3.51344,0.000812019
3.52637,0.000760291
3.53929,0.000660503
3.5522,0.000521706
3.56513,0.00036532
3.57804,0.000220722
3.59097,0.000112339
3.60388,4.80506e-05
3.6168,1.88594e-05
3.62971,9.28227e-06
3.64264,8.22078e-06
3.65555,1.04904e-05
3.66848,1.13762e-05
3.68139,6.49688e-06
3.69431,1.80864e-07
3.70723,7.73863e-06
3.72015,4.05083e-05
3.73308,8.88629e-05
3.74599,0.000127002
3.75891,0.000135718
3.77183,0.000116294
3.78475,8.3644e-05
3.79766,5.18496e-05
3.81059,2.71289e-05
3.8235,9.93452e-06
3.83643,6.3087e-07
3.84934,4.7398e-06
3.86226,3.57841e-05
