mu_eV,PF_W_per_mK2
-5.67203,6.22726e-05
-5.65911,2.88008e-05
-5.6462,6.72968e-06
-5.63328,1.38593e-07
-5.62036,1.21766e-05
-5.60744,4.52758e-05
-5.59452,0.00010152
-5.5816,0.000182983
-5.56868,0.000291927
-5.55576,0.000430774
-5.54284,0.0006019
-5.52992,0.000807227
-5.517,0.00104768
-5.50409,0.00132267
-5.49117,0.00162969
-5.47825,0.00196452
-5.46533,0.00232183
-5.45241,0.00269615
-5.43949,0.00308253
-5.42656,0.0034763
-5.41365,0.0038715
-5.40073,0.00425858
-5.38782,0.00462203
-5.37489,0.00493871
-5.36198,0.00517855
-5.34905,0.00530798
-5.33614,0.00529617
-5.32322,0.00512433
-5.3103,0.00479519
-5.29738,0.0043394
-5.28447,0.00381223
-5.27154,0.00327934
-5.25863,0.00279802
-5.2457,0.00240317
-5.23278,0.00210555
-5.21987,0.00189829
-5.20694,0.00176539
-5.19403,0.00168848
-5.1811,0.00164997
-5.16819,0.00163417
-5.15527,0.00162778
-5.14236,0.00162001
-5.12943,0.00160282
-5.11652,0.00157104
-5.10359,0.00152223
-5.09068,0.00145641
-5.07776,0.0013755
-5.06483,0.00128264
-5.05192,0.00118164
-5.03899,0.00107632
-5.02608,0.000970253
-5.01316,0.000866377
-5.00024,0.000767013
-4.98732,0.000673819
-4.97441,0.000587845
-4.96148,0.00050964
-4.94857,0.000439356
-4.93564,0.000376842
-4.92273,0.000321739
-4.90981,0.000273545
-4.89689,0.000231686
-4.88397,0.000195549
-4.87104,0.000164524
-4.85813,0.00013801
-4.84521,0.000115456
-4.83229,9.6346e-05
-4.81937,8.02091e-05
-4.80646,6.6628e-05
-4.79353,5.52356e-05
-4.78062,4.56976e-05
-4.7677,3.77439e-05
-4.75478,3.11169e-05
-4.74186,2.56109e-05
-4.72895,2.10501e-05
-4.71602,1.7272e-05
-4.7031,1.41541e-05
-4.69018,1.15814e-05
-4.67726,9.46527e-06
-4.66435,7.72441e-06
-4.65142,6.29798e-06
-4.63851,5.12668e-06
-4.62558,4.16973e-06
-4.61267,3.38772e-06
-4.59975,2.74524e-06
-4.58683,2.22722e-06
-4.57391,1.80324e-06
-4.561,1.45831e-06
-4.54807,1.17725e-06
-4.53516,9.50208e-07
-4.52223,7.6552e-07
-4.50931,6.15551e-07
-4.4964,4.94731e-07
-4.48347,3.98225e-07
-4.47056,3.20316e-07
-4.45763,2.57062e-07
-4.44472,2.05797e-07
-4.4318,1.62727e-07
-4.41889,1.28568e-07
-4.40596,1.01536e-07
-4.39305,8.1158e-08
-4.38012,6.32245e-08
-4.36721,5.01236e-08
-4.35429,4.0129e-08
-4.34136,2.98061e-08
-4.32845,2.33738e-08
-4.31552,1.52909e-08
-4.30261,1.20366e-08
-4.28969,9.20843e-09
-4.27677,7.19967e-09
-4.26385,5.33152e-09
-4.25094,2.63023e-09
-4.23801,1.13363e-09
-4.2251,8.29267e-10
-4.21217,4.46202e-10
-4.19926,2.18277e-10
-4.18634,0
-4.17341,0
-4.1605,0
-4.14757,0
-4.13466,0
-4.12174,0
-4.10883,0
-4.0959,0
-4.08299,0
-4.07006,0
-4.05715,0
-4.04423,0
-4.03131,0
-4.01839,0
-4.00548,0
-3.99255,0
-3.97963,0
-3.96671,0
-3.95379,0
-3.94088,0
-3.92795,0
-3.91504,0
-3.90211,0
-3.8892,0
-3.87628,0
-3.86337,0
-3.85044,0
-3.83753,0
-3.8246,0
-3.81168,0
-3.79877,0
-3.78584,0
-3.77293,0
-3.76,0
-3.74709,0
-3.73417,0
-3.72125,0
-3.70833,0
-3.69542,0
-3.68249,0
-3.66958,0
-3.65665,0
-3.64374,0
-3.63082,0
-3.61789,0
-3.60498,0
-3.59205,0
-3.57914,0
-3.56622,0
-3.5533,0
-3.54038,0
-3.52747,0
-3.51454,0
-3.50163,0
-3.48871,0
-3.47579,0
-3.46287,0
-3.44994,0
-3.43703,0
-3.42411,0
-3.41119,0
-3.39827,0
-3.38536,0
-3.37243,0
-3.35952,0
