mu_eV,PF_W_per_mK2
-1.16327,0
-1.15035,0
-1.13744,0
-1.12451,0
-1.11159,0
-1.09867,0
-1.08575,0
-1.07284,0
-1.05991,0
-1.047,0
-1.03407,0
-1.02116,0
-1.00824,0
-0.995325,0
-0.982399,0
-0.969488,0
-0.956562,0
-0.943637,0
-0.930725,0
-0.9178,0
-0.904888,0
-0.891962,0
-0.879051,0
-0.866125,0
-0.853213,0
-0.840288,0
-0.827376,0
-0.814451,0
-0.801539,0
-0.788613,0
-0.775702,0
-0.762776,0
-0.749851,0
-0.736939,0
-0.724014,0
-0.711102,0
-0.698176,0
-0.685265,0
-0.672339,0
-0.659427,0
-0.646502,0
-0.63359,0
-0.620665,0
-0.607753,0
-0.594828,0
-0.581902,0
-0.56899,0
-0.556065,0
-0.543153,0
-0.530228,0
-0.517316,0
-0.50439,0
-0.491479,0
-0.478553,0
-0.465641,0
-0.452716,0
-0.439804,0
-0.426879,0
-0.413967,0
-0.401042,0
-0.388116,0
-0.375204,0
-0.362279,0
-0.349367,0
-0.336442,0
-0.32353,0
-0.310604,0
-0.297693,0
-0.284767,0
-0.271855,0
-0.25893,0
-0.246018,0
-0.233093,0
-0.220167,0
-0.207256,0
-0.19433,0
-0.181418,0
-0.168493,0
-0.155581,0
-0.142656,0
-0.129744,0
-0.116819,0
-0.103907,0
-0.0909813,0
-0.0780695,0
-0.0651441,0
-0.0522187,0
-0.0393069,0
-0.0263814,0
-0.0134696,0
-0.000544228,0
0.0123676,0
0.025293,0
0.0382048,0
0.0511302,0
0.064042,0
0.0769674,0
0.0898792,0
0.102805,0
0.115716,2.64621e-12
0.128642,2.36296e-10
0.141567,7.28813e-10
0.154479,1.51679e-09
0.167405,2.35898e-09
0.180316,3.75569e-09
0.193242,6.7569e-09
0.206154,1.19243e-08
0.219079,2.12963e-08
0.231991,3.32614e-08
0.244916,5.78779e-08
0.257828,9.1753e-08
0.270753,1.42166e-07
0.283665,2.2469e-07
0.296591,3.4709e-07
0.309516,5.33231e-07
0.322428,8.15838e-07
0.335353,1.24364e-06
0.348265,1.88547e-06
0.36119,2.83931e-06
0.374102,4.25606e-06
