mu_eV,PF_W_per_mK2
-5.5124,7.76639e-05
-5.49948,5.37733e-05
-5.48656,3.26008e-05
-5.47364,1.20477e-05
-5.46071,1.16781e-07
-5.44779,1.1794e-05
-5.43488,5.2139e-05
-5.42195,0.00010978
-5.40903,0.000170799
-5.3961,0.000230886
-5.38319,0.000295136
-5.37026,0.000371317
-5.35734,0.000462826
-5.34443,0.000564123
-5.3315,0.000661341
-5.31858,0.000742065
-5.30566,0.000807798
-5.29274,0.000875013
-5.27981,0.00096332
-5.26689,0.0010813
-5.25398,0.00121643
-5.24105,0.00133338
-5.22813,0.00139452
-5.21521,0.00139918
-5.20229,0.00139472
-5.18936,0.0014428
-5.17644,0.00158192
-5.16353,0.00180332
-5.1506,0.0020403
-5.13767,0.00219073
-5.12476,0.00217245
-5.11184,0.00196024
-5.09891,0.00157042
-5.086,0.001047
-5.07308,0.000496203
-5.06015,9.93005e-05
-5.04722,7.25642e-06
-5.03431,0.000162734
-5.02139,0.000320906
-5.00846,0.000324642
-4.99555,0.000208045
-4.98262,7.51929e-05
-4.9697,4.8445e-06
-4.95677,1.32293e-05
-4.94386,6.50384e-05
-4.93094,0.000127535
-4.91801,0.00020131
-4.9051,0.000304182
-4.89217,0.000443148
-4.87925,0.000599422
-4.86632,0.00073709
-4.85341,0.000825945
-4.84049,0.000854118
-4.82756,0.000824941
-4.81465,0.000750549
-4.80172,0.000647693
-4.7888,0.000533872
-4.77589,0.000423397
-4.76296,0.000325306
-4.75003,0.000243586
-4.73711,0.000178613
-4.7242,0.000128741
-4.71127,9.14793e-05
-4.69835,6.42271e-05
-4.68544,4.4634e-05
-4.67251,3.07441e-05
-4.65958,2.10149e-05
-4.64666,1.42664e-05
-4.63375,9.62588e-06
-4.62082,6.45989e-06
-4.6079,4.31186e-06
-4.59498,2.86376e-06
-4.58206,1.89586e-06
-4.56913,1.2475e-06
-4.55622,8.18033e-07
-4.5433,5.34868e-07
-4.53037,3.47971e-07
-4.51745,2.2637e-07
-4.50453,1.4453e-07
-4.49161,8.8348e-08
-4.47868,5.63429e-08
-4.46577,3.62569e-08
-4.45285,2.26661e-08
