mu_eV,T_K,PF_W_per_mK2
-1.73935,400,0
-1.73935,500,0
-1.73935,600,0
-1.72643,300,0
-1.72643,400,0
-1.72643,500,0
-1.72643,600,0
-1.7135,300,0
-1.7135,400,0
-1.7135,500,0
-1.7135,600,0
-1.70058,300,0
-1.70058,400,0
-1.70058,500,0
-1.70058,600,0
-1.68766,300,0
-1.68766,400,0
-1.68766,500,0
-1.68766,600,0
-1.67474,300,0
-1.67474,400,0
-1.67474,500,0
-1.67474,600,0
-1.66181,300,0
-1.66181,400,0
-1.66181,500,0
-1.66181,600,0
-1.6489,300,0
-1.6489,400,0
-1.6489,500,0
-1.6489,600,0
-1.63598,300,0
-1.63598,400,0
-1.63598,500,0
-1.63598,600,0
-1.62305,300,0
-1.62305,400,0
-1.62305,500,0
-1.62305,600,0
-1.61013,300,0
-1.61013,400,0
-1.61013,500,0
-1.61013,600,0
-1.59721,300,0
-1.59721,400,0
-1.59721,500,0
-1.59721,600,0
-1.58429,300,0
-1.58429,400,0
-1.58429,500,0
-1.58429,600,0
-1.57136,300,0
-1.57136,400,0
-1.57136,500,0
-1.57136,600,0
-1.55845,300,0
-1.55845,400,0
-1.55845,500,0
-1.55845,600,0
-1.54553,300,0
-1.54553,400,0
-1.54553,500,0
-1.54553,600,0
-1.5326,300,0
-1.5326,400,0
-1.5326,500,0
-1.5326,600,0
-1.51969,300,0
-1.51969,400,0
-1.51969,500,0
-1.51969,600,0
-1.50676,300,0
-1.50676,400,0
-1.50676,500,0
-1.50676,600,0
-1.49384,300,0
-1.49384,400,0
-1.49384,500,0
-1.49384,600,0
-1.48091,300,0
-1.48091,400,0
-1.48091,500,0
-1.48091,600,0
-1.468,300,0
-1.468,400,0
-1.468,500,0
-1.468,600,0
-1.45507,300,0
-1.45507,400,0
-1.45507,500,0
-1.45507,600,0
-1.44215,300,0
-1.44215,400,0
-1.44215,500,0
-1.44215,600,0
-1.42924,300,0
-1.42924,400,0
-1.42924,500,0
-1.42924,600,0
-1.41631,300,0
-1.41631,400,0
-1.41631,500,0
-1.41631,600,0
-1.40339,300,0
-1.40339,400,0
-1.40339,500,0
-1.40339,600,0
-1.39046,300,0
-1.39046,400,0
-1.39046,500,0
-1.39046,600,0
-1.37755,300,0
-1.37755,400,0
-1.37755,500,0
-1.37755,600,0
-1.36462,300,0
-1.36462,400,0
-1.36462,500,0
-1.36462,600,0
-1.3517,300,0
-1.3517,400,0
-1.3517,500,0
-1.3517,600,0
-1.33879,300,0
-1.33879,400,0
-1.33879,500,0
-1.33879,600,0
-1.32586,300,0
-1.32586,400,0
-1.32586,500,0
-1.32586,600,0
-1.31294,300,0
-1.31294,400,0
-1.31294,500,0
-1.31294,600,0
-1.30002,300,0
-1.30002,400,0
-1.30002,500,0
-1.30002,600,0
-1.2871,300,0
-1.2871,400,0
-1.2871,500,0
-1.2871,600,0
-1.27417,300,0
-1.27417,400,0
-1.27417,500,0
-1.27417,600,0
-1.26125,300,0
-1.26125,400,0
-1.26125,500,0
-1.26125,600,0
-1.24834,300,0
-1.24834,400,0
-1.24834,500,0
-1.24834,600,0
-1.23541,300,0
-1.23541,400,0
-1.23541,500,0
-1.23541,600,0
-1.22249,300,0
-1.22249,400,0
-1.22249,500,0
-1.22249,600,0
-1.20957,300,0
-1.20957,400,0
-1.20957,500,0
-1.20957,600,0
-1.19665,300,0
-1.19665,400,0
-1.19665,500,0
-1.19665,600,0
-1.18372,300,0
-1.18372,400,0
-1.18372,500,0
-1.18372,600,0
-1.1708,300,0
-1.1708,400,0
-1.1708,500,0
-1.1708,600,0
-1.15789,300,0
-1.15789,400,0
-1.15789,500,0
-1.15789,600,0
-1.14496,300,0
-1.14496,400,0
-1.14496,500,0
-1.14496,600,0
-1.13203,300,0
-1.13203,400,0
-1.13203,500,0
-1.13203,600,0
-1.11912,300,0
-1.11912,400,0
-1.11912,500,0
-1.11912,600,0
-1.1062,300,0
-1.1062,400,0
-1.1062,500,0
-1.1062,600,0
-1.09327,300,0
-1.09327,400,0
-1.09327,500,0
-1.09327,600,0
-1.08036,300,0
-1.08036,400,0
-1.08036,500,0
-1.08036,600,0
-1.06744,300,0
-1.06744,400,0
-1.06744,500,0
-1.06744,600,0
-1.05451,300,0
-1.05451,400,0
-1.05451,500,0
-1.05451,600,0
-1.04158,300,0
-1.04158,400,0
-1.04158,500,0
-1.04158,600,0
-1.02867,300,0
-1.02867,400,0
-1.02867,500,0
-1.02867,600,0
-1.01575,300,0
-1.01575,400,0
-1.01575,500,0
-1.01575,600,0
-1.00282,300,0
-1.00282,400,0
-1.00282,500,0
-1.00282,600,0
-0.98991,300,0
-0.98991,400,0
-0.98991,500,0
-0.98991,600,0
-0.976984,300,0
-0.976984,400,0
-0.976984,500,0
-0.976984,600,0
-0.964059,300,0
-0.964059,400,0
-0.964059,500,0
-0.964059,600,0
-0.951134,300,0
-0.951134,400,0
-0.951134,500,0
-0.951134,600,0
-0.938222,300,0
-0.938222,400,0
-0.938222,500,0
-0.938222,600,0
-0.925296,300,0
-0.925296,400,0
-0.925296,500,0
-0.925296,600,0
-0.912371,300,0
-0.912371,400,0
-0.912371,500,0
-0.912371,600,0
-0.899459,300,0
-0.899459,400,0
-0.899459,500,0
-0.899459,600,0
-0.886534,300,0
-0.886534,400,0
-0.886534,500,0
-0.886534,600,0
-0.873608,300,0
-0.873608,400,0
-0.873608,500,0
-0.873608,600,0
-0.860696,300,0
-0.860696,400,0
-0.860696,500,0
-0.860696,600,0
-0.847771,300,0
-0.847771,400,0
-0.847771,500,0
-0.847771,600,0
-0.834846,300,0
-0.834846,400,0
-0.834846,500,0
-0.834846,600,0
-0.82192,300,0
-0.82192,400,0
-0.82192,500,0
-0.82192,600,0
-0.809008,300,0
-0.809008,400,0
-0.809008,500,0
-0.809008,600,0
-0.796083,300,0
-0.796083,400,0
-0.796083,500,0
-0.796083,600,0
-0.783158,300,0
-0.783158,400,0
-0.783158,500,0
-0.783158,600,0
-0.770246,300,0
-0.770246,400,0
-0.770246,500,0
-0.770246,600,0
-0.75732,300,0
-0.75732,400,0
-0.75732,500,0
-0.75732,600,0
-0.744395,300,0
-0.744395,400,0
-0.744395,500,0
-0.744395,600,0
-0.73147,300,0
-0.73147,400,0
-0.73147,500,0
-0.73147,600,0
-0.718558,300,0
-0.718558,400,0
-0.718558,500,0
-0.718558,600,0
-0.705632,300,0
-0.705632,400,0
-0.705632,500,0
-0.705632,600,0
-0.692707,300,0
-0.692707,400,0
-0.692707,500,0
-0.692707,600,0
-0.679795,300,0
-0.679795,400,0
-0.679795,500,0
-0.679795,600,0
-0.66687,300,0
-0.66687,400,0
-0.66687,500,0
-0.66687,600,0
-0.653944,300,0
-0.653944,400,0
-0.653944,500,0
-0.653944,600,0
-0.641032,300,0
-0.641032,400,0
-0.641032,500,0
-0.641032,600,0
-0.628107,300,0
-0.628107,400,0
-0.628107,500,0
-0.628107,600,0
-0.615182,300,0
-0.615182,400,0
-0.615182,500,0
-0.615182,600,0
-0.602256,300,0
-0.602256,400,0
-0.602256,500,0
-0.602256,600,0
-0.589344,300,0
-0.589344,400,0
-0.589344,500,0
-0.589344,600,0
-0.576419,300,0
-0.576419,400,0
-0.576419,500,0
-0.576419,600,0
-0.563494,300,0
-0.563494,400,0
-0.563494,500,0
-0.563494,600,0
-0.550582,300,0
-0.550582,400,0
-0.550582,500,0
-0.550582,600,0
-0.537656,300,0
-0.537656,400,0
-0.537656,500,0
-0.537656,600,0
-0.524731,300,0
-0.524731,400,0
-0.524731,500,0
-0.524731,600,0
-0.511806,300,0
-0.511806,400,0
-0.511806,500,0
-0.511806,600,0
-0.498894,300,0
-0.498894,400,0
-0.498894,500,0
-0.498894,600,0
-0.485968,300,0
-0.485968,400,0
-0.485968,500,0
-0.485968,600,0
-0.473043,300,0
-0.473043,400,0
-0.473043,500,0
-0.473043,600,0
-0.460131,300,0
-0.460131,400,0
-0.460131,500,0
-0.460131,600,0
-0.447206,300,0
-0.447206,400,0
-0.447206,500,0
-0.447206,600,0
-0.43428,300,0
-0.43428,400,0
-0.43428,500,0
-0.43428,600,0
-0.421355,300,0
-0.421355,400,0
-0.421355,500,0
-0.421355,600,0
-0.408443,300,0
-0.408443,400,0
-0.408443,500,0
-0.408443,600,0
-0.395518,300,0
-0.395518,400,0
-0.395518,500,0
-0.395518,600,0
-0.382592,300,0
-0.382592,400,0
-0.382592,500,0
-0.382592,600,0
-0.36968,300,0
-0.36968,400,0
-0.36968,500,0
-0.36968,600,0
-0.356755,300,0
-0.356755,400,0
-0.356755,500,0
-0.356755,600,0
-0.34383,300,0
-0.34383,400,0
-0.34383,500,0
-0.34383,600,0
-0.330918,300,0
-0.330918,400,0
-0.330918,500,0
-0.330918,600,0
-0.317992,300,0
-0.317992,400,0
-0.317992,500,0
-0.317992,600,0
-0.305067,300,0
-0.305067,400,0
-0.305067,500,0
-0.305067,600,0
-0.292142,300,0
-0.292142,400,0
-0.292142,500,0
-0.292142,600,0
-0.27923,300,0
-0.27923,400,0
-0.27923,500,0
-0.27923,600,0
-0.266304,300,0
-0.266304,400,0
-0.266304,500,0
-0.266304,600,0
-0.253379,300,0
-0.253379,400,0
-0.253379,500,0
-0.253379,600,0
-0.240467,300,0
-0.240467,400,0
-0.240467,500,0
-0.240467,600,4.94783e-13
-0.227542,300,0
-0.227542,400,0
-0.227542,500,0
-0.227542,600,4.98817e-11
-0.214616,300,0
-0.214616,400,0
-0.214616,500,0
-0.214616,600,1.24146e-10
-0.201691,300,0
-0.201691,400,0
-0.201691,500,0
-0.201691,600,2.26968e-10
-0.188779,300,0
-0.188779,400,0
-0.188779,500,0
-0.188779,600,2.83371e-10
-0.175854,300,0
-0.175854,400,0
-0.175854,500,0
-0.175854,600,5.5408e-10
-0.162928,300,0
-0.162928,400,0
-0.162928,500,0
-0.162928,600,8.8641e-10
-0.150016,300,0
-0.150016,400,0
-0.150016,500,0
-0.150016,600,1.64403e-09
-0.137091,300,0
-0.137091,400,0
-0.137091,500,0
-0.137091,600,2.74585e-09
-0.124166,300,0
-0.124166,400,0
-0.124166,500,0
-0.124166,600,4.2944e-09
-0.111254,300,0
-0.111254,400,0
-0.111254,500,0
-0.111254,600,6.65362e-09
-0.0983284,300,0
-0.0983284,400,0
-0.0983284,500,0
-0.0983284,600,8.84797e-09
-0.085403,300,0
-0.085403,400,0
-0.085403,500,5.67893e-13
-0.085403,600,1.14834e-08
-0.0724776,300,0
-0.0724776,400,0
-0.0724776,500,5.75678e-11
-0.0724776,600,1.53064e-08
-0.0595657,300,0
-0.0595657,400,0
-0.0595657,500,1.46217e-10
-0.0595657,600,2.04827e-08
-0.0466403,300,0
-0.0466403,400,0
-0.0466403,500,2.73559e-10
-0.0466403,600,2.59364e-08
-0.0337149,300,0
-0.0337149,400,0
-0.0337149,500,3.5702e-10
-0.0337149,600,3.37207e-08
-0.0208031,300,0
-0.0208031,400,0
-0.0208031,500,6.96322e-10
-0.0208031,600,4.38539e-08
-0.0078777,300,0
-0.0078777,400,0
-0.0078777,500,1.1316e-09
-0.0078777,600,5.59574e-08
0.00504771,300,0
0.00504771,400,0
0.00504771,500,2.08764e-09
0.00504771,600,7.07534e-08
0.0179731,300,0
0.0179731,400,0
0.0179731,500,3.51338e-09
0.0179731,600,8.91962e-08
0.0308849,300,0
0.0308849,400,0
0.0308849,500,5.57364e-09
0.0308849,600,1.12061e-07
0.0438103,300,0
0.0438103,400,0
0.0438103,500,8.73839e-09
0.0438103,600,1.47e-07
0.0567358,300,0
0.0567358,400,0
0.0567358,500,1.2006e-08
0.0567358,600,1.88329e-07
0.0696476,300,0
0.0696476,400,6.63998e-13
0.0696476,500,1.61623e-08
0.0696476,600,2.38397e-07
0.082573,300,0
0.082573,400,6.78991e-11
0.082573,500,2.21765e-08
0.082573,600,2.98796e-07
0.0954984,300,0
0.0954984,400,1.7797e-10
0.0954984,500,3.04485e-08
0.0954984,600,3.73077e-07
0.10841,300,0
0.10841,400,3.45225e-10
0.10841,500,4.00884e-08
0.10841,600,4.68442e-07
0.121336,300,0
0.121336,400,4.81502e-10
0.121336,500,5.37431e-08
0.121336,600,5.87999e-07
0.134261,300,0
0.134261,400,9.41952e-10
0.134261,500,7.19549e-08
0.134261,600,7.30774e-07
0.147186,300,0
0.147186,400,1.57296e-09
0.147186,500,9.50144e-08
0.147186,600,9.08607e-07
0.160098,300,0
0.160098,400,2.89593e-09
0.160098,500,1.2453e-07
0.160098,600,1.12923e-06
0.173024,300,0
0.173024,400,4.94607e-09
0.173024,500,1.62859e-07
0.173024,600,1.40077e-06
0.185949,300,0
0.185949,400,8.03597e-09
0.185949,500,2.12274e-07
0.185949,600,1.73537e-06
0.198861,300,0
0.198861,400,1.28721e-08
0.198861,500,2.83588e-07
0.198861,600,2.14754e-06
0.211786,300,0
0.211786,400,1.86002e-08
0.211786,500,3.73005e-07
0.211786,600,2.65023e-06
0.224712,300,0
0.224712,400,2.64622e-08
0.224712,500,4.87014e-07
0.224712,600,3.26714e-06
0.237637,300,1.23595e-12
0.237637,400,3.8043e-08
0.237637,500,6.32071e-07
0.237637,600,4.02609e-06
0.250549,300,1.28384e-10
0.250549,400,5.45596e-08
0.250549,500,8.18187e-07
0.250549,600,4.95816e-06
0.263474,300,3.55304e-10
0.263474,400,7.61584e-08
0.263474,500,1.06097e-06
0.263474,600,6.09343e-06
0.2764,300,7.34332e-10
0.2764,400,1.07283e-07
0.2764,500,1.37425e-06
0.2764,600,7.48165e-06
0.289312,300,1.14206e-09
0.289312,400,1.50731e-07
0.289312,500,1.77014e-06
0.289312,600,9.17905e-06
0.302237,300,2.28328e-09
0.302237,400,2.09933e-07
0.302237,500,2.27808e-06
0.302237,600,1.12461e-05
0.315162,300,4.02524e-09
0.315162,400,2.90778e-07
0.315162,500,2.92831e-06
0.315162,600,1.37581e-05
0.328074,300,7.51111e-09
0.328074,400,4.01925e-07
0.328074,500,3.7575e-06
0.328074,600,1.68143e-05
0.341,300,1.32877e-08
0.341,400,5.53809e-07
0.341,500,4.81338e-06
0.341,600,2.05237e-05
0.353925,300,2.26494e-08
0.353925,400,7.69825e-07
0.353925,500,6.15554e-06
0.353925,600,2.50178e-05
0.36685,300,3.80054e-08
0.36685,400,1.06107e-06
0.36685,500,7.854e-06
0.36685,600,3.04499e-05
0.379762,300,5.98322e-08
0.379762,400,1.45613e-06
0.379762,500,1.00039e-05
0.379762,600,3.70122e-05
0.392688,300,9.32277e-08
0.392688,400,1.99071e-06
0.392688,500,1.27218e-05
0.392688,600,4.49124e-05
0.405613,300,1.45477e-07
0.405613,400,2.71433e-06
0.405613,500,1.61492e-05
0.405613,600,5.44062e-05
0.418525,300,2.25919e-07
0.418525,400,3.69553e-06
0.418525,500,2.04519e-05
0.418525,600,6.57889e-05
0.43145,300,3.46135e-07
0.43145,400,5.01875e-06
0.43145,500,2.58465e-05
0.43145,600,7.9394e-05
0.444376,300,5.30482e-07
0.444376,400,6.78935e-06
0.444376,500,3.25925e-05
0.444376,600,9.56251e-05
0.457301,300,8.09536e-07
0.457301,400,9.15938e-06
0.457301,500,4.09955e-05
0.457301,600,0.000114925
0.470213,300,1.22792e-06
0.470213,400,1.23196e-05
0.470213,500,5.14255e-05
0.470213,600,0.000137798
0.483138,300,1.85269e-06
0.483138,400,1.65144e-05
0.483138,500,6.43296e-05
0.483138,600,0.000164811
0.496064,300,2.7832e-06
0.496064,400,2.20571e-05
0.496064,500,8.02246e-05
0.496064,600,0.000196588
0.508976,300,4.15952e-06
0.508976,400,2.93435e-05
0.508976,500,9.97134e-05
0.508976,600,0.000233811
0.521901,300,6.1973e-06
0.521901,400,3.88644e-05
0.521901,500,0.000123483
0.521901,600,0.00027721
0.534826,300,9.16721e-06
0.534826,400,5.12313e-05
0.534826,500,0.000152315
0.534826,600,0.00032754
0.547738,300,1.34678e-05
0.547738,400,6.71817e-05
0.547738,500,0.000187054
0.547738,600,0.000385584
0.560664,300,1.96377e-05
0.560664,400,8.75844e-05
0.560664,500,0.000228608
0.560664,600,0.000452084
0.573589,300,2.83969e-05
0.573589,400,0.000113429
0.573589,500,0.000277912
0.573589,600,0.000527728
0.586514,300,4.06783e-05
0.586514,400,0.000145817
0.586514,500,0.000335861
0.586514,600,0.000613097
0.599426,300,5.76305e-05
0.599426,400,0.000185894
0.599426,500,0.000403271
0.599426,600,0.000708584
0.612352,300,8.05835e-05
0.612352,400,0.00023475
0.612352,500,0.000480755
0.612352,600,0.000814361
0.625277,300,0.000110962
0.625277,400,0.000293288
0.625277,500,0.00056865
0.625277,600,0.000930282
0.638189,300,0.000150036
0.638189,400,0.000362069
0.638189,500,0.000666891
0.638189,600,0.00105584
0.651114,300,0.000198568
0.651114,400,0.000441108
0.651114,500,0.000774932
0.651114,600,0.00119008
0.66404,300,0.00025642
0.66404,400,0.000529789
0.66404,500,0.000891691
0.66404,600,0.00133163
0.676965,300,0.000322404
0.676965,400,0.000626853
0.676965,500,0.00101552
0.676965,600,0.00147867
0.689877,300,0.00039479
0.689877,400,0.000730536
0.689877,500,0.0011442
0.689877,600,0.00162897
0.702802,300,0.000472498
0.702802,400,0.000838632
0.702802,500,0.00127499
0.702802,600,0.00177991
0.715728,300,0.000555825
0.715728,400,0.000948363
0.715728,500,0.00140455
0.715728,600,0.00192865
0.72864,300,0.000644926
0.72864,400,0.00105587
0.72864,500,0.00152903
0.72864,600,0.00207231
0.741565,300,0.000736132
0.741565,400,0.00115563
0.741565,500,0.00164436
0.741565,600,0.00220824
0.75449,300,0.000819738
0.75449,400,0.00124068
0.75449,500,0.00174666
0.75449,600,0.00233441
0.767402,300,0.00088189
0.767402,400,0.00130384
0.767402,500,0.00183326
0.767402,600,0.00244982
0.780328,300,0.000907628
0.780328,400,0.00134025
0.780328,500,0.00190375
0.780328,600,0.00255488
0.793253,300,0.000885887
0.793253,400,0.00135051
0.793253,500,0.00196089
0.793253,600,0.00265146
0.806178,300,0.000821415
0.806178,400,0.00134281
0.806178,500,0.00201077
0.806178,600,0.00274275
0.81909,300,0.000741197
0.81909,400,0.00133203
0.81909,500,0.00206183
0.81909,600,0.00283236
0.832016,300,0.000679934
0.832016,400,0.00133558
0.832016,500,0.00212298
0.832016,600,0.00292336
0.844941,300,0.000660118
0.844941,400,0.00136817
0.844941,500,0.00220127
0.844941,600,0.0030172
0.857853,300,0.00068732
0.857853,400,0.00143859
0.857853,500,0.0022996
0.857853,600,0.00311259
0.870778,300,0.000757694
0.870778,400,0.00154872
0.870778,500,0.0024156
0.870778,600,0.00320501
0.883704,300,0.000866854
0.883704,400,0.00169368
0.883704,500,0.00254129
0.883704,600,0.00328682
0.896629,300,0.00101347
0.896629,400,0.00186251
0.896629,500,0.0026635
0.896629,600,0.00334809
0.909541,300,0.00119796
0.909541,400,0.00203789
0.909541,500,0.00276516
0.909541,600,0.00337764
0.922466,300,0.00141996
0.922466,400,0.00219547
0.922466,500,0.00282725
0.922466,600,0.00336476
0.935392,300,0.00166244
0.935392,400,0.00230309
0.935392,500,0.0028316
0.935392,600,0.00330099
0.948304,300,0.00185651
0.948304,400,0.0023245
0.948304,500,0.00276463
0.948304,600,0.0031822
0.961229,300,0.00188249
0.961229,400,0.00223303
0.961229,500,0.00262214
0.961229,600,0.00300967
0.974154,300,0.00166873
0.974154,400,0.00203089
0.974154,500,0.00241227
0.974154,600,0.00279058
0.98708,300,0.00129802
0.98708,400,0.00175556
0.98708,500,0.00215429
0.98708,600,0.00253694
0.999992,300,0.000945059
0.999992,400,0.00146089
0.999992,500,0.00187269
0.999992,600,0.00226335
1.01292,300,0.000709922
1.01292,400,0.00118769
1.01292,500,0.00158981
1.01292,600,0.00198438
1.02584,300,0.000570904
1.02584,400,0.000950361
1.02584,500,0.00132142
1.02584,600,0.00171269
1.03875,300,0.000460954
1.03875,400,0.000745728
1.03875,500,0.00107649
1.03875,600,0.00145798
1.05168,300,0.000344724
1.05168,400,0.000568446
1.05168,500,0.000859555
1.05168,600,0.00122709
1.06461,300,0.000236213
1.06461,400,0.000417648
1.06461,500,0.000672782
1.06461,600,0.00102435
1.07752,300,0.000156972
1.07752,400,0.000293974
1.07752,500,0.000516918
1.07752,600,0.000852113
1.09044,300,0.000101514
1.09044,400,0.000196003
1.09044,500,0.000391516
1.09044,600,0.000711193
1.10337,300,5.31936e-05
1.10337,400,0.000121415
1.10337,500,0.000295243
1.10337,600,0.000601279
1.11629,300,1.46211e-05
1.11629,400,6.91383e-05
1.11629,500,0.000226151
1.11629,600,0.000521337
1.1292,300,1.47294e-07
1.1292,400,3.77885e-05
1.1292,500,0.000181814
1.1292,600,0.000470006
1.14213,300,3.16093e-06
1.14213,400,2.32451e-05
1.14213,500,0.00015972
1.14213,600,0.000446121
1.15506,300,3.96489e-06
1.15506,400,2.03765e-05
1.15506,500,0.000158138
1.15506,600,0.000449161
1.16797,300,6.29045e-07
1.16797,400,2.69106e-05
1.16797,500,0.000177171
1.16797,600,0.000479614
1.18089,300,4.69097e-07
1.18089,400,4.46823e-05
1.18089,500,0.000219462
1.18089,600,0.000539086
1.19382,300,4.02794e-06
1.19382,400,7.94638e-05
1.19382,500,0.000290332
1.19382,600,0.000629927
1.20674,300,1.46329e-05
1.20674,400,0.000142586
1.20674,500,0.000397329
1.20674,600,0.000754382
1.21966,300,5.04721e-05
1.21966,400,0.00025247
1.21966,500,0.000548384
1.21966,600,0.000913012
1.23258,300,0.000154166
1.23258,400,0.000430601
1.23258,500,0.000747834
1.23258,600,0.00110265
1.24551,300,0.000386314
1.24551,400,0.000687872
1.24551,500,0.000990823
1.24551,600,0.00131441
1.25842,300,0.000763259
1.25842,400,0.00100601
1.25842,500,0.00125891
1.25842,600,0.00153281
1.27134,300,0.00117794
1.27134,400,0.00133231
1.27134,500,0.00152092
1.27134,600,0.00173696
1.28427,300,0.00147303
1.28427,400,0.0016008
1.28427,500,0.00173996
1.28427,600,0.00190384
1.29718,300,0.00159616
1.29718,400,0.00176175
1.29718,500,0.00188359
1.29718,600,0.00201304
1.31011,300,0.00157668
1.31011,400,0.00179307
1.31011,500,0.00193202
1.31011,600,0.00205107
1.32303,300,0.00141655
1.32303,400,0.00169789
1.32303,500,0.00188238
1.32303,600,0.00201421
1.33596,300,0.00112793
1.33596,400,0.00150474
1.33596,500,0.00174854
1.33596,600,0.00190879
1.34887,300,0.000811958
1.34887,400,0.00126293
1.34887,500,0.00155622
1.34887,600,0.00174911
1.36179,300,0.000580264
1.36179,400,0.00102146
1.36179,500,0.00133446
1.36179,600,0.00155369
1.37472,300,0.000450524
1.37472,400,0.00080745
1.37472,500,0.00110789
1.37472,600,0.0013414
1.38763,300,0.000367615
1.38763,400,0.000624665
1.38763,500,0.000893181
1.38763,600,0.00112865
1.40056,300,0.000280345
1.40056,400,0.000467975
1.40056,500,0.000700087
1.40056,600,0.000928059
1.41348,300,0.000186482
1.41348,400,0.000335422
1.41348,500,0.000533974
1.41348,600,0.000748315
1.42641,300,0.00011077
1.42641,400,0.000228917
1.42641,500,0.000397496
1.42641,600,0.000594508
1.43932,300,6.37913e-05
1.43932,400,0.000149135
1.43932,500,0.000290963
1.43932,600,0.000468681
1.45225,300,3.66961e-05
1.45225,400,9.31794e-05
1.45225,500,0.000212611
1.45225,600,0.000370395
1.46517,300,1.76352e-05
1.46517,400,5.64331e-05
1.46517,500,0.000159265
1.46517,600,0.000297337
1.47808,300,3.59143e-06
1.47808,400,3.48997e-05
1.47808,500,0.00012734
1.47808,600,0.000245975
1.49101,300,6.17911e-07
1.49101,400,2.60567e-05
1.49101,500,0.000113779
1.49101,600,0.000212039
1.50393,300,7.40323e-06
1.50393,400,3.02854e-05
1.50393,500,0.000116603
1.50393,600,0.000190698
1.51684,300,3.19973e-06
1.51684,400,5.53945e-05
1.51684,500,0.000134114
1.51684,600,0.000176401
1.52977,300,1.41205e-05
1.52977,400,0.000117629
1.52977,500,0.000161856
1.52977,600,0.000162705
1.5427,300,0.000176094
1.5427,400,0.000223014
1.5427,500,0.000188547
1.5427,600,0.000142886
1.55562,300,0.000536684
1.55562,400,0.000335954
1.55562,500,0.000196133
1.55562,600,0.000112131
1.56853,300,0.000844619
1.56853,400,0.000383669
1.56853,500,0.000168788
1.56853,600,7.10441e-05
1.58146,300,0.000817824
1.58146,400,0.000317115
1.58146,500,0.000107336
1.58146,600,2.85604e-05
1.59438,300,0.000491351
1.59438,400,0.000166992
1.59438,500,3.70903e-05
1.59438,600,1.80691e-06
1.6073,300,0.000136238
1.6073,400,3.12509e-05
1.6073,500,2.1749e-07
1.6073,600,1.17473e-05
1.62022,300,6.17941e-07
1.62022,400,9.66967e-06
1.62022,500,3.61029e-05
1.62022,600,7.61001e-05
1.63315,300,0.000174971
1.63315,400,0.000143364
1.63315,500,0.000162301
1.63315,600,0.000202867
1.64607,300,0.000559291
1.64607,400,0.000396577
1.64607,500,0.000367394
1.64607,600,0.000387562
1.65898,300,0.000924879
1.65898,400,0.000684895
1.65898,500,0.000618576
1.65898,600,0.000615107
1.67191,300,0.00107945
1.67191,400,0.000928071
1.67191,500,0.000877826
1.67191,600,0.000864959
1.68483,300,0.00100097
1.68483,400,0.00109135
1.68483,500,0.00111652
1.68483,600,0.00111667
1.69775,300,0.000833304
1.69775,400,0.00119001
1.69775,500,0.00132093
1.69775,600,0.00135347
1.71067,300,0.000741824
1.71067,400,0.00126096
1.71067,500,0.00148827
1.71067,600,0.00156309
1.7236,300,0.000787424
1.7236,400,0.0013279
1.7236,500,0.00161859
1.7236,600,0.00173688
1.73651,300,0.000915382
1.73651,400,0.00138519
1.73651,500,0.00170935
1.73651,600,0.00186855
1.74943,300,0.000999469
1.74943,400,0.0014082
1.74943,500,0.00175579
1.74943,600,0.00195396
1.76236,300,0.000958516
1.76236,400,0.00137878
1.76236,500,0.00175527
1.76236,600,0.0019915
1.77529,300,0.000834113
1.77529,400,0.00130171
1.77529,500,0.00171104
1.77529,600,0.00198261
1.7882,300,0.000708042
1.7882,400,0.00119812
1.7882,500,0.00163172
1.7882,600,0.00193158
1.80112,300,0.000611148
1.80112,400,0.00108876
1.80112,500,0.00152783
1.80112,600,0.00184449
1.81405,300,0.000538394
1.81405,400,0.000984552
1.81405,500,0.00140806
1.81405,600,0.00172792
1.82696,300,0.000487974
1.82696,400,0.00088692
1.82696,500,0.00127782
1.82696,600,0.00158835
1.83988,300,0.000454941
1.83988,400,0.000791377
1.83988,500,0.00114024
1.83988,600,0.00143198
1.85281,300,0.000415084
1.85281,400,0.000692872
1.85281,500,0.000998313
1.85281,600,0.00126511
1.86574,300,0.000348911
1.86574,400,0.00059261
1.86574,500,0.000856705
1.86574,600,0.00109421
1.87865,300,0.000276633
1.87865,400,0.000499694
1.87865,500,0.000721115
1.87865,600,0.000925514
1.89157,300,0.00023597
1.89157,400,0.000423369
1.89157,500,0.000595876
1.89157,600,0.00076418
1.9045,300,0.000238479
1.9045,400,0.000363336
1.9045,500,0.00048174
1.9045,600,0.000613676
1.91741,300,0.000261726
1.91741,400,0.000308359
1.91741,500,0.000376329
1.91741,600,0.00047599
1.93034,300,0.000259519
1.93034,400,0.00024429
1.93034,500,0.000277145
1.93034,600,0.00035248
1.94326,300,0.000197117
1.94326,400,0.000166339
1.94326,500,0.000185005
1.94326,600,0.00024483
1.95617,300,9.51206e-05
1.95617,400,8.62224e-05
1.95617,500,0.000105198
1.95617,600,0.000155292
1.9691,300,1.6357e-05
1.9691,400,2.57042e-05
1.9691,500,4.51385e-05
1.9691,600,8.60788e-05
1.98202,300,3.12828e-06
1.98202,400,5.60232e-07
1.98202,500,1.00826e-05
1.98202,600,3.82396e-05
1.99495,300,4.15029e-05
1.99495,400,1.01204e-05
1.99495,500,2.65611e-08
1.99495,600,1.07742e-05
2.00786,300,8.78981e-05
