mu_eV,T_K,PF_W_per_mK2
-4.80172,400,0.000911735
-4.80172,500,0.00112134
-4.80172,600,0.00130665
-4.7888,300,0.000533872
-4.7888,400,0.000818519
-4.7888,500,0.00105453
-4.7888,600,0.00126064
-4.77589,300,0.000423397
-4.77589,400,0.000714401
-4.77589,500,0.000970381
-4.77589,600,0.00119598
-4.76296,300,0.000325306
-4.76296,400,0.00060863
-4.76296,500,0.000875992
-4.76296,600,0.00111749
-4.75003,300,0.000243586
-4.75003,400,0.000507954
-4.75003,500,0.000777581
-4.75003,600,0.00102993
-4.73711,300,0.000178613
-4.73711,400,0.000416593
-4.73711,500,0.000680156
-4.73711,600,0.000937635
-4.7242,300,0.000128741
-4.7242,400,0.000336641
-4.7242,500,0.000587362
-4.7242,600,0.000844316
-4.71127,300,9.14793e-05
-4.71127,400,0.000268624
-4.71127,500,0.000501594
-4.71127,600,0.000752895
-4.69835,300,6.42271e-05
-4.69835,400,0.000212043
-4.69835,500,0.000424191
-4.69835,600,0.000665566
-4.68544,300,4.4634e-05
-4.68544,400,0.000165826
-4.68544,500,0.000355677
-4.68544,600,0.000583826
-4.67251,300,3.07441e-05
-4.67251,400,0.000128635
-4.67251,500,0.000295993
-4.67251,600,0.0005086
-4.65958,300,2.10149e-05
-4.65958,400,9.90761e-05
-4.65958,500,0.00024469
-4.65958,600,0.000440337
-4.64666,300,1.42664e-05
-4.64666,400,7.58302e-05
-4.64666,500,0.000201082
-4.64666,600,0.000379128
-4.63375,300,9.62588e-06
-4.63375,400,5.7713e-05
-4.63375,500,0.000164375
-4.63375,600,0.000324803
-4.62082,300,6.45989e-06
-4.62082,400,4.37038e-05
-4.62082,500,0.000133728
-4.62082,600,0.000277006
-4.6079,300,4.31186e-06
-4.6079,400,3.29443e-05
-4.6079,500,0.000108327
-4.6079,600,0.000235277
-4.59498,300,2.86376e-06
-4.59498,400,2.47313e-05
-4.59498,500,8.74095e-05
-4.59498,600,0.00019909
-4.58206,300,1.89586e-06
-4.58206,400,1.84967e-05
-4.58206,500,7.02772e-05
-4.58206,600,0.000167894
-4.56913,300,1.2475e-06
-4.56913,400,1.37863e-05
-4.56913,500,5.63194e-05
-4.56913,600,0.000141142
-4.55622,300,8.18033e-07
-4.55622,400,1.02425e-05
-4.55622,500,4.49972e-05
-4.55622,600,0.000118311
-4.5433,300,5.34868e-07
-4.5433,400,7.58573e-06
-4.5433,500,3.58504e-05
-4.5433,600,9.8908e-05
-4.53037,300,3.47971e-07
-4.53037,400,5.60239e-06
-4.53037,500,2.84895e-05
-4.53037,600,8.24824e-05
-4.51745,300,2.2637e-07
-4.51745,400,4.12683e-06
-4.51745,500,2.2586e-05
-4.51745,600,6.86267e-05
-4.50453,300,1.4453e-07
-4.50453,400,3.03201e-06
-4.50453,500,1.78649e-05
-4.50453,600,5.69741e-05
-4.49161,300,8.8348e-08
-4.49161,400,2.22359e-06
-4.49161,500,1.41011e-05
-4.49161,600,4.72031e-05
-4.47868,300,5.63429e-08
-4.47868,400,1.62684e-06
-4.47868,500,1.11072e-05
-4.47868,600,3.90374e-05
-4.46577,300,3.62569e-08
-4.46577,400,1.18743e-06
-4.46577,500,8.733e-06
-4.46577,600,3.22245e-05
-4.45285,300,2.26661e-08
-4.45285,400,8.6538e-07
-4.45285,500,6.85348e-06
-4.45285,600,2.6556e-05
-4.43992,300,1.27736e-08
-4.43992,400,6.27956e-07
-4.43992,500,5.36935e-06
-4.43992,600,2.18517e-05
-4.42699,300,6.40887e-09
-4.42699,400,4.53907e-07
-4.42699,500,4.20099e-06
-4.42699,600,1.79509e-05
-4.41408,300,2.45134e-09
-4.41408,400,3.2889e-07
-4.41408,500,3.28218e-06
-4.41408,600,1.47276e-05
-4.40116,300,1.38359e-09
