mu_eV,PF_W_per_mK2
-5.5124,0.000101722
-5.49948,6.31671e-05
-5.48656,3.05104e-05
-5.47364,7.4709e-06
-5.46071,1.84181e-07
-5.44779,1.48388e-05
-5.43488,5.38887e-05
-5.42195,0.000114664
-5.40903,0.0001919
-5.3961,0.00028153
-5.38319,0.000382512
-5.37026,0.0004959
-5.35734,0.000622531
-5.34443,0.000761113
-5.3315,0.000908156
-5.31858,0.00105979
-5.30566,0.00121389
-5.29274,0.00137064
-5.27981,0.0015308
-5.26689,0.00169299
-5.25398,0.00185227
-5.24105,0.00200205
-5.22813,0.00213942
-5.21521,0.00226968
-5.20229,0.00240496
-5.18936,0.00255632
-5.17644,0.00272445
-5.16353,0.00289277
-5.1506,0.00302585
-5.13767,0.00307469
-5.12476,0.00298718
-5.11184,0.00272022
-5.09891,0.00225581
-5.086,0.00162848
-5.07308,0.000952008
-5.06015,0.000396124
-5.04722,8.46626e-05
-5.03431,4.2835e-07
-5.02139,2.02733e-05
-5.00846,3.75739e-05
-4.99555,2.40648e-05
-4.98262,3.23761e-06
-4.9697,5.19051e-06
-4.95677,4.38423e-05
-4.94386,0.000116534
-4.93094,0.000214433
-4.91801,0.000331298
-4.9051,0.000463995
-4.89217,0.000607335
-4.87925,0.000749978
-4.86632,0.000875661
-4.85341,0.000968483
-4.84049,0.00101801
-4.82756,0.00102149
-4.81465,0.000983087
-4.80172,0.000911735
-4.7888,0.000818519
-4.77589,0.000714401
-4.76296,0.00060863
-4.75003,0.000507954
-4.73711,0.000416593
-4.7242,0.000336641
-4.71127,0.000268624
-4.69835,0.000212043
-4.68544,0.000165826
-4.67251,0.000128635
-4.65958,9.90761e-05
-4.64666,7.58302e-05
-4.63375,5.7713e-05
-4.62082,4.37038e-05
-4.6079,3.29443e-05
-4.59498,2.47313e-05
-4.58206,1.84967e-05
-4.56913,1.37863e-05
-4.55622,1.02425e-05
-4.5433,7.58573e-06
-4.53037,5.60239e-06
-4.51745,4.12683e-06
-4.50453,3.03201e-06
-4.49161,2.22359e-06
-4.47868,1.62684e-06
-4.46577,1.18743e-06
-4.45285,8.6538e-07
-4.43992,6.27956e-07
-4.42699,4.53907e-07
-4.41408,3.2889e-07
-4.40116,2.35892e-07
-4.38823,1.6908e-07
-4.37532,1.2125e-07
-4.36239,8.64141e-08
-4.34947,6.20034e-08
-4.33656,4.29216e-08
-4.32363,2.73748e-08
-4.31071,1.91467e-08
-4.29778,1.36661e-08
-4.28487,9.37474e-09
-4.27194,5.59459e-09
-4.25902,2.90565e-09
-4.24611,1.0703e-09
-4.23318,6.55187e-10
-4.22026,3.48372e-10
-4.20733,1.09311e-10
-4.19442,0
-4.18149,0
-4.16857,0
-4.15566,0
-4.14273,0
-4.12981,0
-4.11689,0
-4.10397,0
-4.09104,0
-4.07812,0
-4.06521,0
-4.05228,0
-4.03935,0
-4.02644,0
-4.01352,0
-4.00059,0
-3.98767,0
-3.97476,0
-3.96183,0
-3.9489,0
-3.93599,0
-3.92307,0
-3.91014,0
-3.89723,0
-3.8843,0
-3.87138,0
-3.85845,0
-3.84554,0
-3.83262,0
-3.81969,0
-3.80678,0
-3.79385,0
-3.78093,0
-3.768,0
-3.75509,0
-3.74217,0
-3.72924,0
-3.71633,0
-3.7034,0
-3.69048,0
-3.67757,0
-3.66464,0
-3.65171,0
-3.63879,0
-3.62588,0
-3.61295,0
-3.60003,0
-3.58712,0
-3.57419,0
-3.56126,0
-3.54834,0
-3.53543,0
-3.5225,0
-3.50958,0
-3.49666,0
-3.48374,0
-3.47081,0
-3.45789,0
-3.44498,0
-3.43205,0
-3.41913,0
-3.40621,0
-3.39329,0
-3.38036,0
-3.36745,0
-3.35453,0
-3.3416,0
-3.32867,0
-3.31576,0
-3.30284,0
-3.28991,0
-3.277,0
-3.26407,0
-3.25115,0
-3.23822,0
-3.22531,0
-3.21239,0
-3.19946,0
-3.18655,0
-3.17362,0
-3.1607,0
-3.14779,0
-3.13486,0
-3.12194,0
-3.10901,0
-3.0961,0
-3.08317,0
-3.07025,0
-3.05734,0
-3.04441,0
-3.03149,0
-3.01856,0
-3.00565,0
-2.99272,0
-2.9798,0
-2.96689,0
-2.95396,0
-2.94103,0
-2.92812,0
-2.9152,0
-2.90227,0
-2.88935,0
-2.87644,0
-2.86351,0
-2.85058,0
-2.83767,0
-2.82475,0
-2.81182,0
-2.7989,0
-2.78598,0
-2.77306,0
-2.76013,0
-2.74722,0
-2.7343,0
-2.72137,0
-2.70846,0
-2.69553,0
-2.68261,0
-2.66968,0
-2.65677,0
-2.64385,0
-2.63092,0
-2.61801,0
-2.60508,0
-2.59216,0
-2.57923,0
-2.56632,0
-2.55339,0
-2.54047,0
-2.52756,0
-2.51463,0
-2.50171,0
-2.4888,0
-2.47587,0
-2.46294,0
-2.45002,0
-2.43711,0
-2.42418,0
-2.41126,0
-2.39834,0
-2.38542,0
-2.37249,0
-2.35957,0
-2.34666,0
-2.33373,0
-2.32081,0
-2.30789,0
-2.29497,0
-2.28204,0
-2.26913,0
-2.25621,0
-2.24328,0
-2.23035,0
-2.21744,0
-2.20452,0
-2.19159,0
-2.17868,0
-2.16576,0
-2.15283,0
-2.1399,0
-2.12699,0
-2.11407,0
-2.10114,0
-2.08823,0
-2.0753,0
-2.06238,0
-2.04945,0
-2.03654,0
-2.02362,0
-2.01069,0
-1.99778,0
-1.98485,0
-1.97193,0
-1.95902,0
-1.94609,0
-1.93317,0
-1.92024,0
-1.90733,0
-1.8944,0
-1.88148,0
-1.86857,0
-1.85564,0
-1.84271,0
-1.82979,0
-1.81688,0
-1.80395,0
-1.79103,0
-1.77812,0
-1.76519,0
-1.75226,0
-1.73935,0
-1.72643,0
-1.7135,0
-1.70058,0
-1.68766,0
-1.67474,0
-1.66181,0
-1.6489,0
-1.63598,0
-1.62305,0
-1.61013,0
-1.59721,0
-1.58429,0
-1.57136,0
-1.55845,0
-1.54553,0
-1.5326,0
-1.51969,0
-1.50676,0
-1.49384,0
-1.48091,0
-1.468,0
-1.45507,0
-1.44215,0
-1.42924,0
-1.41631,0
-1.40339,0
-1.39046,0
-1.37755,0
-1.36462,0
-1.3517,0
-1.33879,0
-1.32586,0
-1.31294,0
-1.30002,0
-1.2871,0
-1.27417,0
-1.26125,0
-1.24834,0
-1.23541,0
-1.22249,0
-1.20957,0
-1.19665,0
-1.18372,0
-1.1708,0
-1.15789,0
-1.14496,0
-1.13203,0
-1.11912,0
-1.1062,0
-1.09327,0
-1.08036,0
-1.06744,0
-1.05451,0
-1.04158,0
-1.02867,0
-1.01575,0
-1.00282,0
-0.98991,0
-0.976984,0
-0.964059,0
-0.951134,0
-0.938222,0
-0.925296,0
-0.912371,0
-0.899459,0
-0.886534,0
-0.873608,0
-0.860696,0
-0.847771,0
-0.834846,0
-0.82192,0
-0.809008,0
-0.796083,0
-0.783158,0
-0.770246,0
-0.75732,0
-0.744395,0
-0.73147,0
-0.718558,0
-0.705632,0
-0.692707,0
-0.679795,0
-0.66687,0
-0.653944,0
-0.641032,0
-0.628107,0
-0.615182,0
-0.602256,0
-0.589344,0
-0.576419,0
-0.563494,0
-0.550582,0
-0.537656,0
-0.524731,0
-0.511806,0
-0.498894,0
-0.485968,0
-0.473043,0
-0.460131,0
-0.447206,0
-0.43428,0
-0.421355,0
-0.408443,0
-0.395518,0
-0.382592,0
-0.36968,0
-0.356755,0
-0.34383,0
-0.330918,0
-0.317992,0
-0.305067,0
-0.292142,0
-0.27923,0
-0.266304,0
-0.253379,0
-0.240467,0
-0.227542,0
-0.214616,0
-0.201691,0
-0.188779,0
-0.175854,0
-0.162928,0
-0.150016,0
-0.137091,0
-0.124166,0
-0.111254,0
-0.0983284,0
-0.085403,0
-0.0724776,0
-0.0595657,0
-0.0466403,0
-0.0337149,0
-0.0208031,0
-0.0078777,0
0.00504771,0
0.0179731,0
0.0308849,0
0.0438103,0
0.0567358,0
0.0696476,6.63998e-13
0.082573,6.78991e-11
0.0954984,1.7797e-10
0.10841,3.45225e-10
0.121336,4.81502e-10
0.134261,9.41952e-10
0.147186,1.57296e-09
0.160098,2.89593e-09
0.173024,4.94607e-09
0.185949,8.03597e-09
0.198861,1.28721e-08
0.211786,1.86002e-08
0.224712,2.64622e-08
0.237637,3.8043e-08
0.250549,5.45596e-08
0.263474,7.61584e-08
0.2764,1.07283e-07
0.289312,1.50731e-07
0.302237,2.09933e-07
0.315162,2.90778e-07
0.328074,4.01925e-07
0.341,5.53809e-07
0.353925,7.69825e-07
0.36685,1.06107e-06
0.379762,1.45613e-06
0.392688,1.99071e-06
0.405613,2.71433e-06
0.418525,3.69553e-06
0.43145,5.01875e-06
0.444376,6.78935e-06
0.457301,9.15938e-06
0.470213,1.23196e-05
0.483138,1.65144e-05
0.496064,2.20571e-05
0.508976,2.93435e-05
0.521901,3.88644e-05
0.534826,5.12313e-05
0.547738,6.71817e-05
0.560664,8.75844e-05
0.573589,0.000113429
0.586514,0.000145817
