mu_eV,PF_W_per_mK2
-5.5124,8.5849e-05
-5.49948,4.85888e-05
-5.48656,1.93939e-05
-5.47364,2.54959e-06
-5.46071,1.995e-06
-5.44779,2.09597e-05
-5.43488,6.16429e-05
-5.42195,0.000125112
-5.40903,0.0002115
-5.3961,0.000320396
-5.38319,0.000451231
-5.37026,0.0006035
-5.35734,0.000776733
-5.34443,0.000970334
-5.3315,0.00118335
-5.31858,0.00141434
-5.30566,0.00166126
-5.29274,0.00192158
-5.27981,0.0021924
-5.26689,0.00247076
-5.25398,0.00275396
-5.24105,0.00303968
-5.22813,0.00332582
-5.21521,0.00360972
-5.20229,0.00388689
-5.18936,0.00414944
-5.17644,0.00438469
-5.16353,0.00457452
-5.1506,0.00469536
-5.13767,0.00471995
-5.12476,0.00462021
-5.11184,0.00437335
-5.09891,0.00397098
-5.086,0.00342946
-5.07308,0.00279663
-5.06015,0.00214633
-5.04722,0.00155748
-5.03431,0.00108715
-5.02139,0.000754636
-5.00846,0.00054627
-4.99555,0.000433341
-4.98262,0.000388354
-4.9697,0.000391949
-4.95677,0.000432214
-4.94386,0.000501407
-4.93094,0.000593223
-4.91801,0.000701365
-4.9051,0.000819057
-4.89217,0.00093898
-4.87925,0.00105352
-4.86632,0.00115525
-4.85341,0.00123764
-4.84049,0.00129569
-4.82756,0.00132659
-4.81465,0.00132972
-4.80172,0.00130665
-4.7888,0.00126064
-4.77589,0.00119598
-4.76296,0.00111749
-4.75003,0.00102993
-4.73711,0.000937635
-4.7242,0.000844316
-4.71127,0.000752895
-4.69835,0.000665566
-4.68544,0.000583826
-4.67251,0.0005086
-4.65958,0.000440337
-4.64666,0.000379128
-4.63375,0.000324803
-4.62082,0.000277006
-4.6079,0.000235277
-4.59498,0.00019909
-4.58206,0.000167894
-4.56913,0.000141142
-4.55622,0.000118311
-4.5433,9.8908e-05
-4.53037,8.24824e-05
-4.51745,6.86267e-05
-4.50453,5.69741e-05
-4.49161,4.72031e-05
-4.47868,3.90374e-05
-4.46577,3.22245e-05
-4.45285,2.6556e-05
-4.43992,2.18517e-05
-4.42699,1.79509e-05
-4.41408,1.47276e-05
-4.40116,1.20657e-05
-4.38823,9.8718e-06
-4.37532,8.06729e-06
-4.36239,6.58536e-06
-4.34947,5.36895e-06
-4.33656,4.37262e-06
-4.32363,3.55636e-06
-4.31071,2.88999e-06
-4.29778,2.34544e-06
-4.28487,1.90153e-06
-4.27194,1.54135e-06
-4.25902,1.2485e-06
-4.24611,1.01006e-06
-4.23318,8.14707e-07
-4.22026,6.56362e-07
-4.20733,5.28226e-07
-4.19442,4.24177e-07
-4.18149,3.415e-07
-4.16857,2.74251e-07
