mu_eV,PF_W_per_mK2
-1.27417,0
-1.26125,0
-1.24834,0
-1.23541,0
-1.22249,0
-1.20957,0
-1.19665,0
-1.18372,0
-1.1708,0
-1.15789,0
-1.14496,0
-1.13203,0
-1.11912,0
-1.1062,0
-1.09327,0
-1.08036,0
-1.06744,0
-1.05451,0
-1.04158,0
-1.02867,0
-1.01575,0
-1.00282,0
-0.98991,0
-0.976984,0
-0.964059,0
-0.951134,0
-0.938222,0
-0.925296,0
-0.912371,0
-0.899459,0
-0.886534,0
-0.873608,0
-0.860696,0
-0.847771,0
-0.834846,0
-0.82192,0
-0.809008,0
-0.796083,0
-0.783158,0
-0.770246,0
-0.75732,0
-0.744395,0
-0.73147,0
-0.718558,0
-0.705632,0
-0.692707,0
-0.679795,0
-0.66687,0
-0.653944,0
-0.641032,0
-0.628107,0
-0.615182,0
-0.602256,0
-0.589344,0
-0.576419,0
-0.563494,0
-0.550582,0
-0.537656,0
-0.524731,0
-0.511806,0
-0.498894,0
-0.485968,0
-0.473043,0
-0.460131,0
-0.447206,0
-0.43428,0
-0.421355,0
-0.408443,0
-0.395518,0
-0.382592,0
-0.36968,0
-0.356755,0
-0.34383,0
-0.330918,0
-0.317992,0
-0.305067,0
-0.292142,0
-0.27923,0
-0.266304,0
-0.253379,0
-0.240467,0
-0.227542,0
-0.214616,0
-0.201691,0
-0.188779,0
-0.175854,0
-0.162928,0
-0.150016,0
-0.137091,0
-0.124166,0
-0.111254,0
-0.0983284,0
-0.085403,5.67893e-13
-0.0724776,5.75678e-11
-0.0595657,1.46217e-10
-0.0466403,2.73559e-10
-0.0337149,3.5702e-10
-0.0208031,6.96322e-10
-0.0078777,1.1316e-09
0.00504771,2.08764e-09
0.0179731,3.51338e-09
0.0308849,5.57364e-09
0.0438103,8.73839e-09
0.0567358,1.2006e-08
0.0696476,1.61623e-08
0.082573,2.21765e-08
0.0954984,3.04485e-08
0.10841,4.00884e-08
0.121336,5.37431e-08
0.134261,7.19549e-08
0.147186,9.50144e-08
0.160098,1.2453e-07
0.173024,1.62859e-07
0.185949,2.12274e-07
0.198861,2.83588e-07
0.211786,3.73005e-07
0.224712,4.87014e-07
0.237637,6.32071e-07
0.250549,8.18187e-07
0.263474,1.06097e-06
0.2764,1.37425e-06
0.289312,1.77014e-06
0.302237,2.27808e-06
0.315162,2.92831e-06
0.328074,3.7575e-06
0.341,4.81338e-06
0.353925,6.15554e-06
0.36685,7.854e-06
0.379762,1.00039e-05
0.392688,1.27218e-05
0.405613,1.61492e-05
0.418525,2.04519e-05
0.43145,2.58465e-05
0.444376,3.25925e-05
0.457301,4.09955e-05
0.470213,5.14255e-05
0.483138,6.43296e-05
0.496064,8.02246e-05
0.508976,9.97134e-05
0.521901,0.000123483
0.534826,0.000152315
0.547738,0.000187054
0.560664,0.000228608
0.573589,0.000277912
0.586514,0.000335861
0.599426,0.000403271
0.612352,0.000480755
0.625277,0.00056865
0.638189,0.000666891
0.651114,0.000774932
0.66404,0.000891691
0.676965,0.00101552
0.689877,0.0011442
0.702802,0.00127499
0.715728,0.00140455
0.72864,0.00152903
0.741565,0.00164436
0.75449,0.00174666
0.767402,0.00183326
0.780328,0.00190375
0.793253,0.00196089
0.806178,0.00201077
0.81909,0.00206183
0.832016,0.00212298
0.844941,0.00220127
0.857853,0.0022996
0.870778,0.0024156
0.883704,0.00254129
0.896629,0.0026635
0.909541,0.00276516
0.922466,0.00282725
0.935392,0.0028316
0.948304,0.00276463
0.961229,0.00262214
0.974154,0.00241227
0.98708,0.00215429
0.999992,0.00187269
1.01292,0.00158981
1.02584,0.00132142
1.03875,0.00107649
1.05168,0.000859555
1.06461,0.000672782
1.07752,0.000516918
1.09044,0.000391516
1.10337,0.000295243
1.11629,0.000226151
1.1292,0.000181814
1.14213,0.00015972
1.15506,0.000158138
1.16797,0.000177171
1.18089,0.000219462
1.19382,0.000290332
1.20674,0.000397329
1.21966,0.000548384
1.23258,0.000747834
1.24551,0.000990823
1.25842,0.00125891
1.27134,0.00152092
1.28427,0.00173996
1.29718,0.00188359
1.31011,0.00193202
1.32303,0.00188238
1.33596,0.00174854
1.34887,0.00155622
1.36179,0.00133446
1.37472,0.00110789
1.38763,0.000893181
1.40056,0.000700087
1.41348,0.000533974
1.42641,0.000397496
1.43932,0.000290963
1.45225,0.000212611
1.46517,0.000159265
1.47808,0.00012734
1.49101,0.000113779
1.50393,0.000116603
1.51684,0.000134114
1.52977,0.000161856
1.5427,0.000188547
1.55562,0.000196133
1.56853,0.000168788
1.58146,0.000107336
1.59438,3.70903e-05
1.6073,2.1749e-07
1.62022,3.61029e-05
1.63315,0.000162301
1.64607,0.000367394
1.65898,0.000618576
1.67191,0.000877826
1.68483,0.00111652
1.69775,0.00132093
1.71067,0.00148827
1.7236,0.00161859
1.73651,0.00170935
1.74943,0.00175579
1.76236,0.00175527
1.77529,0.00171104
1.7882,0.00163172
1.80112,0.00152783
1.81405,0.00140806
1.82696,0.00127782
1.83988,0.00114024
1.85281,0.000998313
1.86574,0.000856705
1.87865,0.000721115
1.89157,0.000595876
1.9045,0.00048174
1.91741,0.000376329
1.93034,0.000277145
1.94326,0.000185005
1.95617,0.000105198
1.9691,4.51385e-05
1.98202,1.00826e-05
1.99495,2.65611e-08
2.00786,9.72847e-06
2.02079,3.10599e-05
2.03371,5.55947e-05
2.04662,7.61941e-05
2.05955,8.77063e-05
2.07247,8.73744e-05
2.0854,7.52202e-05
2.09831,5.42205e-05
2.11124,2.99745e-05
2.12416,9.62214e-06
2.13707,1.41999e-07
2.15,6.45681e-06
2.16293,3.01064e-05
2.17584,6.92519e-05
2.18876,0.000120063
2.20169,0.000178436
2.21461,0.000240621
2.22752,0.000302246
2.24045,0.00035663
2.25338,0.000393938
2.26629,0.000402773
2.27921,0.000374401
2.29214,0.000308262
2.30506,0.000215601
2.31798,0.00011809
2.3309,4.06977e-05
2.34383,2.42428e-06
2.35674,1.08427e-05
2.36966,6.3262e-05
2.38259,0.000151245
2.39551,0.000263565
2.40843,0.000386298
2.42135,0.000502269
2.43428,0.000592419
2.44719,0.000639484
2.46011,0.000632557
2.47304,0.000570705
2.48595,0.000464648
2.49888,0.000335508
2.5118,0.00020959
2.52473,0.000109663
2.53764,4.65534e-05
2.55056,1.65166e-05
2.56349,7.07364e-06
2.5764,8.58254e-06
2.58933,2.4837e-05
2.60225,7.51618e-05
2.61518,0.000183693
2.62809,0.000359362
2.64102,0.000579012
2.65394,0.000787695
2.66685,0.000919698
2.67978,0.000928753
2.6927,0.000809165
2.70562,0.000596982
2.71854,0.000353846
2.73147,0.000144795
2.74439,2.08031e-05
2.7573,1.01231e-05
2.77023,0.000117078
2.78315,0.000324882
2.79607,0.000600491
2.80899,0.000901139
2.82192,0.00118252
2.83484,0.00140759
2.84775,0.00155427
2.86068,0.00162009
2.87361,0.00162225
2.88652,0.00159147
2.89944,0.00156049
2.91237,0.00155084
2.92528,0.00156159
2.9382,0.00156334
2.95113,0.00150201
2.96406,0.00132072
2.97697,0.00100006
2.98989,0.000594593
3.00282,0.000226328
3.01573,2.12614e-05
3.02866,3.14431e-05
3.04158,0.000206868
3.05451,0.000435068
3.06742,0.000607798
3.08034,0.000665992
3.09327,0.000606985
3.10618,0.000467141
3.11911,0.000298161
3.13203,0.000147291
3.14494,4.51171e-05
3.15787,2.03287e-06
3.17079,1.15818e-05
3.18372,5.58215e-05
3.19663,0.000109368
3.20956,0.000144573
3.22248,0.000141628
3.23539,0.000100274
3.24832,4.29925e-05
3.26125,3.89199e-06
3.27417,9.98909e-06
3.28708,6.85185e-05
3.30001,0.000167174
3.31293,0.00028238
3.32584,0.00038717
3.33877,0.000455494
